tempo,key,mode,danceability,energy,valence,acousticness,speechiness,liveness,loudness,duration_ms,popularity,is_hit
138.007,1,1,0.845,0.467,0.7020000000000001,0.0586,0.138,0.0694,-7.673999999999999,211200,68,1
119.928,1,1,0.7959999999999999,0.477,0.685,0.314,0.108,0.12,-7.1610000000000005,231933,69,1
133.865,8,1,0.525,0.446,0.134,0.357,0.0308,0.161,-8.797,302027,45,1
100.202,10,0,0.735,0.8240000000000001,0.726,0.615,0.036,0.158,-4.143,211666,74,1
100.202,10,0,0.735,0.8240000000000001,0.726,0.615,0.036,0.158,-4.143,211666,60,1
90.059,6,0,0.902,0.72,0.805,0.26,0.347,0.0749,-2.776,193467,71,1
90.059,6,0,0.902,0.72,0.805,0.26,0.347,0.0749,-2.776,193467,47,1
90.042,11,0,0.906,0.6629999999999999,0.847,0.325,0.355,0.0883,-3.955,193467,46,1
171.403,2,1,0.6890000000000001,0.735,0.059,0.00922,0.267,0.365,-4.545,320627,64,1
171.38299999999995,2,1,0.684,0.735,0.06,0.00925,0.273,0.288,-4.596,320293,44,1
145.184,8,1,0.414,0.5720000000000001,0.16,0.163,0.0311,0.115,-3.918,228280,59,1
107.075,11,0,0.956,0.745,0.912,0.206,0.12,0.0615,-4.753,228240,72,1
107.067,2,1,0.964,0.727,0.913,0.204,0.121,0.0638,-4.441,228333,46,1
90.119,0,1,0.665,0.695,0.7070000000000001,0.347,0.0532,0.106,-5.763,227387,71,1
124.037,1,1,0.816,0.5,0.649,0.0227,0.03,0.0733,-4.551,247840,70,1
172.09400000000005,10,1,0.446,0.764,0.5429999999999999,0.00135,0.033,0.099,-5.042,223840,78,1
172.011,10,1,0.4320000000000001,0.795,0.519,0.00128,0.0321,0.101,-4.023,224173,56,1
92.887,8,0,0.911,0.551,0.969,0.132,0.0449,0.0863,-3.75,265867,71,1
92.916,8,0,0.926,0.56,0.974,0.18,0.0479,0.0804,-2.238,267960,48,1
95.982,11,0,0.653,0.609,0.482,0.263,0.037,0.233,-7.519,210200,73,1
103.376,1,0,0.84,0.835,0.637,0.00281,0.275,0.152,-4.386,207907,65,1
103.358,1,0,0.835,0.833,0.586,0.00247,0.284,0.171,-4.364,207733,57,1
93.985,6,1,0.657,0.629,0.726,0.194,0.0782,0.254,-4.938,266893,73,1
103.502,9,0,0.736,0.8109999999999999,0.609,0.00132,0.081,0.107,-4.17,216733,72,1
